Month,Year,Site,Order,Family,Units,Avg,Stdev,randomprob,Length (mm),MassOligos,a,b,Mass,Production,Notes,,,
July,2014,T3,Bivalvia,Pisidium,3.29,2.74,0.83,0.436112706,3.29,,0.0163,2.477,0.310369909,,,,,
July,2010,Alder,Bivalvia,Pisidium,3.29,2.77,0.83,0.419062364,3.29,,0.0163,2.477,0.310369909,,,,,
July,2014,Alder,Bivalvia,Pisidium,3.29,2.77,0.83,0.362210662,3.29,,0.0163,2.477,0.310369909,,,,,
July,2014,Alder,Bivalvia,Pisidium,3.29,2.77,0.83,0.377239846,3.29,,0.0163,2.477,0.310369909,,,,,
July,2016,Alder,Bivalvia,Pisidium,3.29,2.77,0.83,0.494934152,3.29,,0.0163,2.477,0.310369909,,,,,
July,2011,T4,Bivalvia,Pisidium,3.29,2.84,1.2,0.688053337,3.29,,0.0163,2.477,0.310369909,,,,,
July,2015,T4,Bivalvia,Pisidium,3.29,2.84,1.2,0.265947687,3.29,,0.0163,2.477,0.310369909,,,,,
July,2012,Dock,Bivalvia,Pisidium,3.29,3.14,1.21,0.662372089,3.29,,0.0163,2.477,0.310369909,,,,,
July,2013,Dock,Bivalvia,Pisidium,3.29,3.14,1.21,0.633526046,3.29,,0.0163,2.477,0.310369909,,,,,
July,2013,Dock,Bivalvia,Pisidium,3.29,3.14,1.21,0.705086718,3.29,,0.0163,2.477,0.310369909,,,,,
July,2013,Dock,Bivalvia,Pisidium,3.29,3.14,1.21,0.637686519,3.29,,0.0163,2.477,0.310369909,,,,,
July,2015,Dock,Bivalvia,Pisidium,3.29,3.14,1.21,0.388192707,3.29,,0.0163,2.477,0.310369909,,,,,
June,2012,T1,Bivalvia,Pisidium,3.29,2.68,1.08,0.646694907,3.29,,0.0163,2.477,0.310369909,,,,,
June,2012,T1,Bivalvia,Pisidium,3.29,2.68,1.08,0.626015706,3.29,,0.0163,2.477,0.310369909,,,,,
June,2014,T1,Bivalvia,Pisidium,3.29,2.68,1.08,0.538038376,3.29,,0.0163,2.477,0.310369909,,,,,
June,2015,T3,Bivalvia,Pisidium,3.29,2.74,0.83,0.401605979,3.29,,0.0163,2.477,0.310369909,,,,,
June,2012,Dock,Bivalvia,Pisidium,3.29,3.14,1.21,0.74608619,3.29,,0.0163,2.477,0.310369909,,,,,
June,2012,Dock,Bivalvia,Pisidium,3.29,3.14,1.21,0.73689958,3.29,,0.0163,2.477,0.310369909,,,,,
July,2014,Dock,Bivalvia,Pisidium,NA,3.14,1.21,0.546842316,3.28,,0.0163,2.477,0.310114866,,,,,
July,2022,Alder,Oligochaeta,Oligochaeta,0.31,13.92,8.22,0.356960793,0.31,0.009581906,0.0082,2.813,0.31,,,,,
July,2015,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.710847464,3.28,,0.0163,2.477,0.309968059,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.710471307,3.28,,0.0163,2.477,0.309689996,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.730596488,3.28,,0.0163,2.477,0.309343428,,,,,
Aug/Sept,2021,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.709990595,3.28,,0.0163,2.477,0.309335107,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.6655927,7.15,,0.0018,2.617,0.309297153,,,,,
Aug/Sept,2011,Dock,Diptera,Chironomidae,7.14,4.25,2.04,0.459219516,7.14,,0.0018,2.617,0.308926693,,,,,
Aug/Sept,2011,Dock,Diptera,Chironomidae,7.14,4.25,2.04,0.438932747,7.14,,0.0018,2.617,0.308926693,,,,,
Aug/Sept,2012,Dock,Diptera,Chironomidae,7.14,4.25,2.04,0.309030714,7.14,,0.0018,2.617,0.308926693,,,,,
Aug/Sept,2012,Dock,Diptera,Chironomidae,7.14,4.25,2.04,0.399456694,7.14,,0.0018,2.617,0.308926693,,,,,
Aug/Sept,2012,Alder,Diptera,Chironomidae,7.14,4.65,2.28,0.303529561,7.14,,0.0018,2.617,0.308926693,,,,,
Aug/Sept,2012,Alder,Diptera,Chironomidae,7.14,4.65,2.28,0.672370396,7.14,,0.0018,2.617,0.308926693,,,,,
Aug/Sept,2013,T3,Diptera,Chironomidae,7.14,5.94,2.82,0.5480485,7.14,,0.0018,2.617,0.308926693,,,,,
July,2013,Dock,Diptera,Chironomidae,7.14,4.25,2.04,0.260768257,7.14,,0.0018,2.617,0.308926693,,,,,
July,2013,Alder,Diptera,Chironomidae,7.14,4.65,2.28,0.375721143,7.14,,0.0018,2.617,0.308926693,,,,,
July,2013,Spring,Diptera,Chironomidae,7.14,4.89,2.02,0.702482721,7.14,,0.0018,2.617,0.308926693,,,,,
July,2010,T4,Diptera,Chironomidae,7.14,9.7,5.74,0.415697777,7.14,,0.0018,2.617,0.308926693,,,,,
July,2010,T4,Diptera,Chironomidae,7.14,9.7,5.74,0.558824245,7.14,,0.0018,2.617,0.308926693,,,,,
June,2016,Spring,Diptera,Chironomidae,7.14,4.89,2.02,0.52213866,7.14,,0.0018,2.617,0.308926693,,,,,
June,2012,T1,Diptera,Chironomidae,7.14,4.98,2.27,0.310168719,7.14,,0.0018,2.617,0.308926693,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.729655908,3.28,,0.0163,2.477,0.308793279,,,,,
July,2014,Dock,Bivalvia,Pisidium,NA,3.14,1.21,0.544928254,3.28,,0.0163,2.477,0.308746928,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.729471158,3.28,,0.0163,2.477,0.3086854,,,,,
July,2018,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.729457689,3.28,,0.0163,2.477,0.308677537,,,,,
July,2018,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.729230499,3.28,,0.0163,2.477,0.308544962,,,,,
July,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.72919003,3.28,,0.0163,2.477,0.308521356,,,,,
Aug/Sept,2021,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.708858461,3.28,,0.0163,2.477,0.308501344,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.327407457,7.14,,0.0018,2.617,0.308487739,,,,,
July,2014,Dock,Bivalvia,Pisidium,NA,3.14,1.21,0.544514115,3.28,,0.0163,2.477,0.308451525,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.72872273,3.28,,0.0163,2.477,0.30824898,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.728552192,3.28,,0.0163,2.477,0.308149673,,,,,
July,2015,Dock,Trichoptera,Rhyacophilidae,4,6.5,3.54,0.613865844,4,,0.0099,2.48,0.308137087,,,,,
July,2018,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.728437246,3.28,,0.0163,2.477,0.308082766,,,,,
July,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.728324318,3.28,,0.0163,2.477,0.308017056,,,,,
June,2008,T3,Diptera,Chironomidae,NA,5.94,2.82,0.664035674,7.13,,0.0018,2.617,0.307932315,,,,,
Aug/Sept,2015,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.740144213,3.27,,0.0163,2.477,0.307820575,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.663841913,7.13,,0.0018,2.617,0.307762904,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.663581348,7.13,,0.0018,2.617,0.307535235,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.663550601,7.13,,0.0018,2.617,0.307508381,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.663461378,7.13,,0.0018,2.617,0.30743047,,,,,
July,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.707135238,3.27,,0.0163,2.477,0.307237736,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.726966702,3.27,,0.0163,2.477,0.307228802,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.726897823,3.27,,0.0163,2.477,0.307188894,,,,,
Aug/Sept,2009,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.73898093,3.27,,0.0163,2.477,0.307126111,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.326618281,7.13,,0.0018,2.617,0.307070258,,,,,
June,2009,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.738687024,3.27,,0.0163,2.477,0.306951053,,,,,
June,2015,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.738109795,3.27,,0.0163,2.477,0.306607708,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.725489562,3.27,,0.0163,2.477,0.306374718,,,,,
June,2020,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.725421583,3.27,,0.0163,2.477,0.306335501,,,,,
July,2015,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.705860456,3.27,,0.0163,2.477,0.306307164,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.326102556,7.12,,0.0018,2.617,0.306145366,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.725051812,3.27,,0.0163,2.477,0.306122319,,,,,
Aug/Sept,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.661738211,7.12,,0.0018,2.617,0.305929709,,,,,
June,2009,T3,Diptera,Chironomidae,NA,5.94,2.82,0.661704262,7.12,,0.0018,2.617,0.305900217,,,,,
July,2018,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.724229665,3.27,,0.0163,2.477,0.30564915,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.704048215,3.26,,0.0163,2.477,0.304990341,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.660534134,7.11,,0.0018,2.617,0.304885478,,,,,
July,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.703871821,3.26,,0.0163,2.477,0.304862547,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.703859577,3.26,,0.0163,2.477,0.304853679,,,,,
July,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.72265988,3.26,,0.0163,2.477,0.304748824,,,,,
Aug/Sept,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.703485306,3.26,,0.0163,2.477,0.304582758,,,,,
July,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.722368183,3.26,,0.0163,2.477,0.304581975,,,,,
Aug/Sept,2016,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.722278342,3.26,,0.0163,2.477,0.304530615,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.325044144,7.1,,0.0018,2.617,0.304250761,,,,,
July,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.721786821,3.26,,0.0163,2.477,0.304249857,,,,,
Aug/Sept,2015,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.733798858,3.26,,0.0163,2.477,0.304062802,,,,,
June,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.702646942,3.26,,0.0163,2.477,0.303976986,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.721120464,3.26,,0.0163,2.477,0.303869864,,,,,
July,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.720740317,3.26,,0.0163,2.477,0.303653408,,,,,
July,2014,T3,Diptera,Chironomidae,NA,5.94,2.82,0.658862372,7.09,,0.0018,2.617,0.303441647,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.720166615,3.26,,0.0163,2.477,0.303327187,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.324485907,7.09,,0.0018,2.617,0.303253404,,,,,
June,2022,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.701554351,3.25,,0.0163,2.477,0.303189764,,,,,
Aug/Sept,2009,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.73200355,3.25,,0.0163,2.477,0.30301284,,,,,
Aug/Sept,2022,T3,Diptera,Chironomidae,NA,5.94,2.82,0.658353448,7.09,,0.0018,2.617,0.303003487,,,,,
July,2014,Spring,Bivalvia,Pisidium,NA,2.65,0.93,0.741039741,3.25,,0.0163,2.477,0.302641258,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.324003759,7.08,,0.0018,2.617,0.302393052,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.71840416,3.25,,0.0163,2.477,0.302328335,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.32396411,7.08,,0.0018,2.617,0.302322345,,,,,
Aug/Sept,2008,T1,Ephemeroptera,Caenidae,NA,3.39,1.89,0.680161324,4.27,,0.0054,2.772,0.301695888,,,,,
July,2008,T4,Diptera,Chironomidae,NA,9.7,5.74,0.323559652,7.08,,0.0018,2.617,0.301601451,,,,,
June,2008,T3,Diptera,Chironomidae,NA,5.94,2.82,0.656607315,7.08,,0.0018,2.617,0.301504986,,,,,
June,2020,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.716880461,3.25,,0.0163,2.477,0.301468801,,,,,
June,2020,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.716619131,3.25,,0.0163,2.477,0.301321751,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.656254288,7.07,,0.0018,2.617,0.301202931,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.716121498,3.25,,0.0163,2.477,0.301042033,,,,,
Aug/Sept,2015,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.728349319,3.24,,0.0163,2.477,0.300893204,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.323135648,7.07,,0.0018,2.617,0.300846464,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.715384519,3.24,,0.0163,2.477,0.300628494,,,,,
July,2015,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.697909948,3.24,,0.0163,2.477,0.300582085,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.697902201,3.24,,0.0163,2.477,0.300576571,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.697882365,3.24,,0.0163,2.477,0.300562454,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.322741904,7.06,,0.0018,2.617,0.300146036,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.322696778,7.06,,0.0018,2.617,0.300065804,,,,,
July,2014,Dock,Bivalvia,Pisidium,NA,3.14,1.21,0.532566022,3.24,,0.0163,2.477,0.30001482,,,,,
June,2009,T4,Diptera,Chironomidae,NA,9.7,5.74,0.322663634,7.06,,0.0018,2.617,0.300006881,,,,,
June,2021,Spring,Oligochaeta,Oligochaeta,0.3,14.51,9.84,0.480229123,0.3,0.009272813,0.0082,2.813,0.3,,,,,
June,2021,Spring,Oligochaeta,Oligochaeta,0.3,14.51,9.84,0.592464982,0.3,0.009272813,0.0082,2.813,0.3,,,,,
June,2022,Spring,Oligochaeta,Oligochaeta,0.3,14.51,9.84,0.318926464,0.3,0.009272813,0.0082,2.813,0.3,,,,,
June,2022,Spring,Oligochaeta,Oligochaeta,0.3,14.51,9.84,0.485967294,0.3,0.009272813,0.0082,2.813,0.3,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.714175652,3.24,,0.0163,2.477,0.299952003,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.322609757,7.06,,0.0018,2.617,0.299911109,,,,,
June,2015,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.726388522,3.24,,0.0163,2.477,0.299765336,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.696714052,3.24,,0.0163,2.477,0.299732389,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.654357798,7.06,,0.0018,2.617,0.299585447,,,,,
Aug/Sept,2008,Alder,Ephemeroptera,Leptophlebiidae,NA,3.73,1.75,0.708855286,4.7,,0.0047,2.686,0.299570937,,,,,
July,2014,Dock,Bivalvia,Pisidium,NA,3.14,1.21,0.531793738,3.24,,0.0163,2.477,0.299475082,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.6538039,7.06,,0.0018,2.617,0.299114675,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.712123799,3.24,,0.0163,2.477,0.298808945,,,,,
Aug/Sept,2014,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.724627375,3.24,,0.0163,2.477,0.298757856,,,,,
July,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.695234598,3.24,,0.0163,2.477,0.29868527,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.711766871,3.23,,0.0163,2.477,0.298610765,,,,,
Aug/Sept,2022,T3,Diptera,Chironomidae,NA,5.94,2.82,0.653193385,7.05,,0.0018,2.617,0.298596637,,,,,
June,2009,T3,Diptera,Chironomidae,NA,5.94,2.82,0.652771538,7.05,,0.0018,2.617,0.298239209,,,,,
July,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.710927491,3.23,,0.0163,2.477,0.298145472,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.694358872,3.23,,0.0163,2.477,0.298067545,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.321519321,7.05,,0.0018,2.617,0.297975377,,,,,
Aug/Sept,2015,T4,Diptera,Chironomidae,NA,9.7,5.74,0.321516003,7.04,,0.0018,2.617,0.297969495,,,,,
Aug/Sept,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.651975537,7.04,,0.0018,2.617,0.29756592,,,,,
Aug/Sept,2016,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.709767091,3.23,,0.0163,2.477,0.297503984,,,,,
July,2014,Dock,Bivalvia,Pisidium,NA,3.14,1.21,0.528694596,3.23,,0.0163,2.477,0.297315784,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.651301492,7.04,,0.0018,2.617,0.296996962,,,,,
July,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.708709474,3.23,,0.0163,2.477,0.296921078,,,,,
June,2009,T4,Diptera,Chironomidae,NA,9.7,5.74,0.320923834,7.04,,0.0018,2.617,0.296920394,,,,,
July,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.708493935,3.23,,0.0163,2.477,0.296802488,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.320813772,7.03,,0.0018,2.617,0.296725568,,,,,
Aug/Sept,2022,T3,Diptera,Chironomidae,NA,5.94,2.82,0.650734019,7.03,,0.0018,2.617,0.296518796,,,,,
June,2008,T3,Diptera,Chironomidae,NA,5.94,2.82,0.650411304,7.03,,0.0018,2.617,0.296247207,,,,,
Aug/Sept,2021,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.691300734,3.22,,0.0163,2.477,0.295922437,,,,,
Aug/Sept,2015,T4,Diptera,Chironomidae,NA,9.7,5.74,0.320326745,7.03,,0.0018,2.617,0.295864077,,,,,
June,2020,Dock,Diptera,Chironomidae,NA,6.62,1.15,0.637885061,7.03,,0.0018,2.617,0.29579884,,,,,
July,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.691006595,3.22,,0.0163,2.477,0.295717094,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.690668217,3.22,,0.0163,2.477,0.295481079,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.705658232,3.22,,0.0163,2.477,0.295248681,,,,,
Aug/Sept,2015,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.718417772,3.22,,0.0163,2.477,0.295246457,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.689561204,3.22,,0.0163,2.477,0.294710516,,,,,
Aug/Sept,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.648499007,7.01,,0.0018,2.617,0.294642881,,,,,
Aug/Sept,2009,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.689325113,3.22,,0.0163,2.477,0.294546489,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.319522245,7.01,,0.0018,2.617,0.294443205,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.648178003,7.01,,0.0018,2.617,0.294374411,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.319292011,7.01,,0.0018,2.617,0.294037078,,,,,
July,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.688514294,3.21,,0.0163,2.477,0.29398399,,,,,
Aug/Sept,2008,T1,Ephemeroptera,Caenidae,NA,3.39,1.89,0.67227059,4.23,,0.0054,2.772,0.293647335,,,,,
June,2020,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.702527107,3.21,,0.0163,2.477,0.29354661,,,,,
June,2009,T3,Diptera,Chironomidae,NA,5.94,2.82,0.647041215,7,,0.0018,2.617,0.293425587,,,,,
Aug/Sept,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.646584094,7,,0.0018,2.617,0.293044892,,,,,
Aug/Sept,2011,Dock,Diptera,Chironomidae,7,4.25,2.04,0.692596423,7,,0.0018,2.617,0.293017849,,,,,
Aug/Sept,2011,Alder,Diptera,Chironomidae,7,4.65,2.28,0.643937141,7,,0.0018,2.617,0.293017849,,,,,
Aug/Sept,2012,Alder,Diptera,Chironomidae,7,4.65,2.28,0.662297006,7,,0.0018,2.617,0.293017849,,,,,
Aug/Sept,2012,Alder,Diptera,Chironomidae,7,4.65,2.28,0.32813396,7,,0.0018,2.617,0.293017849,,,,,
Aug/Sept,2012,Alder,Diptera,Chironomidae,7,4.65,2.28,0.370331682,7,,0.0018,2.617,0.293017849,,,,,
Aug/Sept,2013,Alder,Diptera,Chironomidae,7,4.65,2.28,0.737717382,7,,0.0018,2.617,0.293017849,,,,,
Aug/Sept,2014,T1,Diptera,Chironomidae,7,4.98,2.27,0.575559048,7,,0.0018,2.617,0.293017849,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,7,9.7,5.74,0.562242536,7,,0.0018,2.617,0.293017849,,,,,
July,2013,Dock,Diptera,Chironomidae,7,4.25,2.04,0.659470121,7,,0.0018,2.617,0.293017849,,,,,
July,2014,Dock,Diptera,Chironomidae,7,4.25,2.04,0.32265294,7,,0.0018,2.617,0.293017849,,,,,
July,2014,Dock,Diptera,Chironomidae,7,4.25,2.04,0.404585537,7,,0.0018,2.617,0.293017849,,,,,
July,2010,Alder,Diptera,Chironomidae,7,4.65,2.28,0.661435826,7,,0.0018,2.617,0.293017849,,,,,
July,2011,Alder,Diptera,Chironomidae,7,4.65,2.28,0.364154513,7,,0.0018,2.617,0.293017849,,,,,
July,2013,Alder,Diptera,Chironomidae,7,4.65,2.28,0.251717791,7,,0.0018,2.617,0.293017849,,,,,
July,2014,T3,Diptera,Chironomidae,7,5.94,2.82,0.302253778,7,,0.0018,2.617,0.293017849,,,,,
July,2014,T3,Diptera,Chironomidae,7,5.94,2.82,0.688750519,7,,0.0018,2.617,0.293017849,,,,,
July,2013,T5,Diptera,Chironomidae,7,14.36,4.74,0.398029996,7,,0.0018,2.617,0.293017849,,,,,
June,2015,Dock,Diptera,Chironomidae,7,4.25,2.04,0.365407089,7,,0.0018,2.617,0.293017849,,,,,
Aug/Sept,2022,T3,Diptera,Chironomidae,NA,5.94,2.82,0.646235199,7,,0.0018,2.617,0.292754652,,,,,
Aug/Sept,2015,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.713943432,3.21,,0.0163,2.477,0.29275459,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,8.27,4.75,0.394007468,7,,0.0018,2.617,0.292725609,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.318495552,7,,0.0018,2.617,0.292633871,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.686486114,3.21,,0.0163,2.477,0.29258252,,,,,
Aug/Sept,2021,Alder,Bivalvia,Pisidium,NA,2.77,0.83,0.700681825,3.21,,0.0163,2.477,0.292550089,,,,,
June,2009,T3,Diptera,Chironomidae,NA,5.94,2.82,0.645969454,7,,0.0018,2.617,0.292533771,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.645797634,6.99,,0.0018,2.617,0.292391044,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.318297237,6.99,,0.0018,2.617,0.292284894,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.685876848,3.21,,0.0163,2.477,0.292163058,,,,,
June,2009,T3,Bivalvia,Pisidium,NA,2.74,0.83,0.712485398,3.21,,0.0163,2.477,0.291949299,,,,,
Aug/Sept,2015,Alder,Trichoptera,Leptoceridae,4,3.56,2.69,0.74755192,4,,0.0034,3.212,0.291941348,,,,,
July,2010,Dock,Trichoptera,Leptoceridae,4,3.21,1.43,0.713332884,4,,0.0034,3.212,0.291941348,,,,,
July,2010,Dock,Trichoptera,Leptoceridae,4,3.21,1.43,0.72005375,4,,0.0034,3.212,0.291941348,,,,,
July,2010,Dock,Trichoptera,Leptoceridae,4,3.21,1.43,0.60924499,4,,0.0034,3.212,0.291941348,,,,,
July,2010,Dock,Trichoptera,Leptoceridae,4,3.21,1.43,0.253130696,4,,0.0034,3.212,0.291941348,,,,,
July,2014,T3,Trichoptera,Leptoceridae,4,3.69,0.87,0.397427874,4,,0.0034,3.212,0.291941348,,,,,
June,2012,T3,Trichoptera,Leptoceridae,4,3.69,0.87,0.678528664,4,,0.0034,3.212,0.291941348,,,,,
June,2014,T3,Trichoptera,Leptoceridae,4,3.69,0.87,0.29880248,4,,0.0034,3.212,0.291941348,,,,,
July,2015,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.685532386,3.21,,0.0163,2.477,0.291926219,,,,,
Aug/Sept,2021,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.684903093,3.2,,0.0163,2.477,0.291494124,,,,,
Aug/Sept,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.684279114,3.2,,0.0163,2.477,0.291066417,,,,,
Aug/Sept,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.643763884,6.98,,0.0018,2.617,0.290706784,,,,,
July,2014,T3,Diptera,Chironomidae,NA,5.94,2.82,0.643475611,6.98,,0.0018,2.617,0.290468809,,,,,
Aug/Sept,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.643446482,6.98,,0.0018,2.617,0.290444773,,,,,
July,2008,T4,Diptera,Chironomidae,NA,9.7,5.74,0.317239215,6.98,,0.0018,2.617,0.29042588,,,,,
Aug/Sept,2016,T4,Diptera,Chironomidae,NA,9.7,5.74,0.317136842,6.97,,0.0018,2.617,0.290246253,,,,,
Aug/Sept,2021,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.683006489,3.2,,0.0163,2.477,0.290196367,,,,,
Aug/Sept,2008,T1,Ephemeroptera,Caenidae,NA,3.39,1.89,0.66796172,4.2,,0.0054,2.772,0.289343566,,,,,
